symbol,asof_date,close,avg_turnover_60d
ITC,2026-08-07,286.1000061035156,4675259979.504102
ITCHOTELS,2026-08-07,170.64999389648438,614500821.3910695
ITI,2026-08-07,282.3999938964844,178764443.38814953
J&KBANK,2026-08-07,159.24000549316406,888817006.659061
JAINREC,2026-08-07,308.3999938964844,1128218176.9156647
JBMA,2026-08-07,648.6500244140625,700549764.2270712
JINDALSAW,2026-08-07,271.3999938964844,523249904.5957629
JINDALSTEL,2026-08-07,1103.0,1359214959.5131774
JIOFIN,2026-08-07,256.79998779296875,3874157233.8808684
JKCEMENT,2026-08-07,5379.5,421390967.78333336
JKTYRE,2026-08-07,394.8999938964844,565181466.1278468
JMFINANCIL,2026-08-07,127.45999908447266,412901055.1755825
JPPOWER,2026-08-07,17.940000534057617,2123594233.9323707
JSL,2026-08-07,734.6500244140625,431755570.7962707
JSWCEMENT,2026-08-07,134.2899932861328,701907652.6505375
JSWDULUX,2026-08-07,3011.699951171875,93602364.79313152
JSWENERGY,2026-08-07,564.4000244140625,1658505102.913379
JSWINFRA,2026-08-07,335.75,1271913261.436589
JSWSTEEL,2026-08-07,1299.5,2189720512.110602
JUBLFOOD,2026-08-07,486.5,1667150752.5458379
JUBLINGREA,2026-08-07,740.25,302009904.56812644
JUBLPHARMA,2026-08-07,932.0,123731039.88654684
JWL,2026-08-07,260.0,455214653.00333786
JYOTICNC,2026-08-07,784.2999877929688,1088226446.3882568
KAJARIACER,2026-08-07,1167.300048828125,314762496.8534933
KALYANKJIL,2026-08-07,606.2999877929688,11574156820.76542
KARURVYSYA,2026-08-07,335.54998779296875,1325427785.3879879
KAYNES,2026-08-07,3856.300048828125,5177360590.690027
KEC,2026-08-07,478.8500061035156,641558948.5700897
KEI,2026-08-07,5600.0,2051043244.06993
KFINTECH,2026-08-07,936.0,1127767399.8779826
KIMS,2026-08-07,811.0999755859375,492574945.92407125
KIRLOSENG,2026-08-07,2161.699951171875,1880846671.8438985
KOTAKBANK,2026-08-07,390.75,6071180962.324668
KPIL,2026-08-07,1317.199951171875,314331923.18628746
KPITTECH,2026-08-07,629.9000244140625,2314714267.242376
KPRMILL,2026-08-07,1076.699951171875,804808095.9942443
LALPATHLAB,2026-08-07,1931.5999755859375,876517044.9906046
LATENTVIEW,2026-08-07,297.20001220703125,401767879.0764536
LAURUSLABS,2026-08-07,1844.300048828125,3450064105.0293884
LEMONTREE,2026-08-07,111.01000213623047,387715820.83935684
LENSKART,2026-08-07,569.7000122070312,3237041062.4609265
LGEINDIA,2026-08-07,1586.5,880967449.4305867
LICHSGFIN,2026-08-07,504.25,818731075.290626
LICI,2026-08-07,394.0,2958574078.401172
LINDEINDIA,2026-08-07,7112.5,218752225.49166667
LLOYDSME,2026-08-07,2101.199951171875,965436112.1218241
LODHA,2026-08-07,1218.699951171875,3123188140.122335
LT,2026-08-07,4056.0,8014328756.000049
LTF,2026-08-07,308.0,1867349730.8825145
LTFOODS,2026-08-07,427.54998779296875,250929662.2046051
LTM,2026-08-07,4658.10009765625,2134413355.243392
LTTS,2026-08-07,3598.699951171875,548429135.466447
LUPIN,2026-08-07,2363.5,2288052616.661975
M&M,2026-08-07,3502.0,9102489380.569958
M&MFIN,2026-08-07,408.45001220703125,1578647489.715158
MAHABANK,2026-08-07,78.27999877929688,1304896996.6113021
MANAPPURAM,2026-08-07,366.75,1424004629.084996
MANKIND,2026-08-07,2456.0,1447690565.2173095
MAPMYINDIA,2026-08-07,1014.2999877929688,676648135.084904
MARICO,2026-08-07,862.0,1704823935.4983287
MARUTI,2026-08-07,14037.0,6400593321.6
MAXHEALTH,2026-08-07,1070.0,2626777590.8791513
MAZDOCK,2026-08-07,2514.89990234375,2020195867.2475626
MCX,2026-08-07,2638.0,8832515634.783796
MEDANTA,2026-08-07,1455.5999755859375,335779868.2497782
MEESHO,2026-08-07,191.35000610351562,3784606192.8181243
MFSL,2026-08-07,1497.4000244140625,1154276257.599941
MGL,2026-08-07,1139.5999755859375,290273275.46699625
MINDACORP,2026-08-07,721.6500244140625,355054113.15185344
MMTC,2026-08-07,63.97999954223633,547148482.7244858
MOTHERSON,2026-08-07,168.5,3589151204.0890765
MOTILALOFS,2026-08-07,870.0,960791888.614567
MPHASIS,2026-08-07,2475.0,1416425660.1033163
MRF,2026-08-07,134190.0,829012797.9166666
MRPL,2026-08-07,167.00999450683594,2010569605.3587418
MSUMI,2026-08-07,41.15999984741211,553330660.0753144
MUTHOOTFIN,2026-08-07,2890.0,3375098152.7193155
NAM-INDIA,2026-08-07,1176.0,1123731246.6910238
NATCOPHARM,2026-08-07,916.6500244140625,658670662.42901
NATIONALUM,2026-08-07,381.0,4242537718.815608
NAUKRI,2026-08-07,1225.300048828125,2816783284.799952
NAVA,2026-08-07,581.8499755859375,227675095.35334575
NAVINFLUOR,2026-08-07,8271.0,1623106253.1333334
NBCC,2026-08-07,95.33000183105469,1382576641.222059
NCC,2026-08-07,145.58999633789062,283653007.3849973
NESTLEIND,2026-08-07,1540.0,3188846553.4369283
NETWEB,2026-08-07,4939.2001953125,7976243195.024585
NEULANDLAB,2026-08-07,22855.0,1227170687.2
NEWGEN,2026-08-07,551.0,1985104040.4730785
NH,2026-08-07,1885.0999755859375,662575887.9590149
NHPC,2026-08-07,76.91999816894531,2063321192.077246
NIACL,2026-08-07,177.11000061035156,1346885590.595991
NIVABUPA,2026-08-07,86.19000244140625,167844401.57874718
NLCINDIA,2026-08-07,304.3999938964844,2075708529.7472749
NMDC,2026-08-07,84.91999816894531,2132966589.6411245
NSLNISP,2026-08-07,43.84000015258789,363196558.7225231
NTPC,2026-08-07,342.5,4187929788.9381757
NTPCGREEN,2026-08-07,91.5,566389294.1334769
NUVAMA,2026-08-07,1642.699951171875,909742032.6001526
NUVOCO,2026-08-07,345.79998779296875,647048181.7617131
NYKAA,2026-08-07,332.0,2449385989.3117166
OBEROIRLTY,2026-08-07,1775.0,891717168.92382
OFSS,2026-08-07,11805.0,3808737281.7166667
OIL,2026-08-07,442.79998779296875,1775598106.4261043
OLAELEC,2026-08-07,41.06999969482422,5088777289.938708
OLECTRA,2026-08-07,1385.0,1069306371.088387
ONESOURCE,2026-08-07,1576.0,450918182.5600586
ONGC,2026-08-07,238.85000610351562,3858637462.975778
PAGEIND,2026-08-07,39900.0,1322076282.5833333
PARADEEP,2026-08-07,149.4499969482422,1063013102.1225895
PATANJALI,2026-08-07,357.5,1953747942.3398123
PAYTM,2026-08-07,1441.5999755859375,3655271753.605176
PCBL,2026-08-07,321.8999938964844,731473609.2275157
PERSISTENT,2026-08-07,5475.0,3939947560.3301516
PETRONET,2026-08-07,280.6000061035156,700657887.2077103
PFC,2026-08-07,420.0,2490358589.480731
PFIZER,2026-08-07,4880.60009765625,145251436.38003743
PFOCUS,2026-08-07,287.6000061035156,163940892.00718638
PGEL,2026-08-07,630.6500244140625,1580110328.937815
PHOENIXLTD,2026-08-07,1895.5,1309110740.232731
PIDILITIND,2026-08-07,1660.0,1563606526.134605
PIIND,2026-08-07,2774.60009765625,977026103.1818156
PINELABS,2026-08-07,154.44000244140625,3936706263.3736258
PIRAMALFIN,2026-08-07,2109.699951171875,717677012.995518
PNB,2026-08-07,114.80999755859375,2106969479.5341156
PNBHOUSING,2026-08-07,1143.0,1023460150.0227427
POLICYBZR,2026-08-07,1604.5,3416663640.1402545
POLYCAB,2026-08-07,9218.0,3115958854.2
POLYMED,2026-08-07,1693.800048828125,238173640.2138692
POONAWALLA,2026-08-07,480.04998779296875,715306287.5076395
POWERGRID,2026-08-07,271.6000061035156,3154597085.5113006
POWERINDIA,2026-08-07,32600.0,5641404854.166667
PPLPHARMA,2026-08-07,209.5500030517578,1311787126.188244
PREMIERENE,2026-08-07,1047.199951171875,1676249249.2966135
PRESTIGE,2026-08-07,1584.800048828125,1201593716.6300902
PTCIL,2026-08-07,19076.0,426756139.75
PVRINOX,2026-08-07,1156.0,306648269.0293264
PWL,2026-08-07,131.58999633789062,1562948006.266993
RADICO,2026-08-07,4499.0,1566529593.734733
RAILTEL,2026-08-07,288.54998779296875,219811027.5886846
RAINBOW,2026-08-07,1556.699951171875,153124529.88799846
RAMCOCEM,2026-08-07,933.7999877929688,171589582.9136556
RBLBANK,2026-08-07,389.79998779296875,2067800314.5812032
RECLTD,2026-08-07,367.0,1856808797.920165
REDINGTON,2026-08-07,354.8500061035156,2189837817.000959
RELIANCE,2026-08-07,1334.800048828125,19208690644.24725
RHIM,2026-08-07,412.79998779296875,795423678.825851
RITES,2026-08-07,234.24000549316406,1014529597.073509
RKFORGE,2026-08-07,726.5499877929688,732776666.3552165
RPOWER,2026-08-07,24.34000015258789,962873438.902717
RRKABEL,2026-08-07,2759.5,1695531999.4765787
RVNL,2026-08-07,233.3800048828125,1802203875.4512455
SAGILITY,2026-08-07,43.66999816894531,919552482.3741978
SAIL,2026-08-07,176.5800018310547,3549882508.2583923
SAILIFE,2026-08-07,1365.199951171875,732190252.8317139
SAMMAANCAP,2026-08-07,163.1699981689453,2634997126.6520934
SAPPHIRE,2026-08-07,224.22000122070312,346489930.3293391
SARDAEN,2026-08-07,497.6000061035156,199932286.89518434
SAREGAMA,2026-08-07,519.2000122070312,1703876075.016189
SBFC,2026-08-07,94.25,111353445.96375643
SBICARD,2026-08-07,659.0,843201747.6587443
SBILIFE,2026-08-07,1855.5,1754082565.0735757
SBIN,2026-08-07,1097.199951171875,12882359950.004353
SCHAEFFLER,2026-08-07,4035.199951171875,291680784.2077189
SCHNEIDER,2026-08-07,1354.800048828125,588578953.2780558
SCI,2026-08-07,304.75,1653271368.4089086
SHREECEM,2026-08-07,26010.0,631285711.5833334
SHRIRAMFIN,2026-08-07,1115.0,5920046497.526951
SHYAMMETL,2026-08-07,1006.9000244140625,617883053.2469828
SIEMENS,2026-08-07,3940.10009765625,1632637341.8761964
SIGNATURE,2026-08-07,802.2999877929688,354451151.3810069
SJVN,2026-08-07,67.95999908447266,203676956.14023668
SOBHA,2026-08-07,1339.0,247738111.18739015
SOLARINDS,2026-08-07,18650.0,2885000768.6666665
SONACOMS,2026-08-07,818.0499877929688,1560187241.907662
SONATSOFTW,2026-08-07,318.04998779296875,1000994049.3508534
